make,model,year,price,mileage,fuel_type,transmission,description,image_url,body_type,vehicle_id
Chevrolet,Joy,2005,700000,100000,Petrol,Manual,urgent sale andar se gari januin hallat me mujud he or gari sailkot number ki register he original documents ke sath gari ke tyres new hn  bikul  or thora paint karwana he jahan foot pares ke peace dalwai hn wahan  thora kam he ye 1 kam hm karwa den ge,https://images.olx.com.pk/thumbnails/311443892-800x600.jpeg,None,kaggle_1990
Daihatsu,Terios Kid,2016,2100000,120000,Petrol,Automatic,"Govt. Officer Car 2009 Model, 18-December-2014 Import Date, 28-March-2016 Registered in Pakistan, Inside out fully original, Complete original file is available, Token tax paid for life, Brand new tires installed, Never been into any accident, Engine is in very good condition, No mechanical work is required, brand new interior,brand new radiator installed of 1300cc double pipe, Suspension 100%, Breaks Leather drum disc 100%, Turbo working 100%,boots knee joints 100%,Gearbox100%,Car Price is almost around 25 but due to shifting in abroad selling at low price.",https://images.olx.com.pk/thumbnails/412568206-800x600.jpeg,None,kaggle_1991
Suzuki,Baleno,2005,1100000,80000,Petrol,Manual,"Baleno car for sale very good condition 3,4 piece touches not showered original condition no major work in car no major exident good milage engine 100% gear 100 % suspension 80 % neat and clean car Ac, heater, petrol, cng, 100 % working just buy and drive more details on call",https://images.olx.com.pk/thumbnails/414128892-800x600.jpeg,None,kaggle_1992
Daihatsu,Cuore,2011,1250000,12345,Petrol,Manual,"90% genuine condition
1 pecice touching 
baqi full gari genuine hy andar bahir sy. . 
model 10 hy 11 ke registered hy. . 
chasky walay hazeat rabta na kren price little negotiat. . . . 
no olx chat only call orr contact",https://images.olx.com.pk/thumbnails/323814039-800x600.jpeg,None,kaggle_1993
Daihatsu,Cuore,2010,820000,130000,Petrol,Manual,. . . . . . . . . . . . . . . . . . . . . .,https://images.olx.com.pk/thumbnails/412671029-800x600.jpeg,None,kaggle_1994
Toyota,Corrolla Altis,2017,3980000,104000,Petrol,Automatic,"Altis 1.6 Automatic 2017 model
2017 Karachi registered (First owner)
101,000 km driven (Family driven car)
2 piece touchups
New battery installed | New tyres
Only get in touch through the whatsapp:
0 3 0 4 | ",https://images.olx.com.pk/thumbnails/403044377-800x600.jpeg,None,kaggle_1995
Honda,Civic Oriel,2007,1790000,23505,Petrol,Manual,"2007 Honda Ivtec reborn civic green color. 
mechanic good. 
AC/ heater on. 
new battery. 
original document, Punjab original plates, token paid till June 2023. 
biometric available. 
only serious buyers contact for immediate sale",https://images.olx.com.pk/thumbnails/412030695-800x600.jpeg,None,kaggle_1996
Daihatsu,Cuore,2007,675000,95000,Petrol,Manual,"Daihatsu Cuore CX ECO 2007 
A/C chilld working
Engn 100%
Suspension Okay
Inside Full Orignal
Outside 2/3 peice touchups
Number plates Tikli orignal
1st Owner
Tax Paid Upto date 
CPLC clear",https://images.olx.com.pk/thumbnails/415030252-800x600.jpeg,None,kaggle_1997
Daihatsu,Cuore,2009,870000,143000,Petrol,Manual,"Coure 2009 
First owner 
Fresh Outer shower 
Interior original
All document clear
Original file 
Cplc clear
CNG and Petrol both",https://images.olx.com.pk/thumbnails/414717741-800x600.jpeg,None,kaggle_1998
Suzuki,Swift,2020,2975000,32000,Petrol,Automatic,"SUZUKI SWIFT DLX
MODEL 2020
REGISTERED 2021 
32000KM ONLY 
A ONE CONDITIONT
JUST BUY & DRIVE. 
NO WORK REQUIRED 
EACH AND EVERYTHING OK 
DEMAND 2975",https://images.olx.com.pk/thumbnails/410913999-800x600.jpeg,None,kaggle_1999
Changan,Alsvin,2021,3550000,24700,Petrol,Automatic,"Selling (100% Original Genuine) Safely used (Delivered in Jan 2022) Alsvin Lumiere (Top of the line) Car in Excellent Condition. No accident, No breakups Ever! (Car Registered on Nov. 2021)
With all options: *DayLight, Cruise Control, Sunroof, Air bags, ABS, Parking sensors, TPMS, Rear Camera* Uptodate Tax. 
Lovely looking Car with Very good fuel average, Stability ; Comfort  . . .  
Excise Paid till Jun 2024",https://images.olx.com.pk/thumbnails/386468302-800x600.jpeg,None,kaggle_2000
Honda,Civic Prosmetic,2006,2200000,170000,Petrol,Automatic,"Air Bags
Air Conditioning
Power Windows
Power Steering
Power Locks
Keyless Entry
Power Mirrors
ABS
AM/FM Radio
LCd Player android ips
Immobilizer Key
2007
170,000 km
Petrol
Automatic
Engine Capacity1800cc
Registered In Islamabad 
Body Type Sedan
Exterior Color Grey
Full options",https://images.olx.com.pk/thumbnails/412873310-800x600.jpeg,None,kaggle_2001
Suzuki,Wagon R,2020,2250000,83000,Petrol,Manual,"GOOD CONDITION

FILE CARD AVAILABLE

TOKEN TEX PAID LIFE TIME

URGENT SALE",https://images.olx.com.pk/thumbnails/411139376-800x600.jpeg,None,kaggle_2002
Suzuki,Swift,2018,2600000,40000,Petrol,Automatic,"suzuki swift
model 2018
40000 km driven
fully original 
transfer must
first owner",https://images.olx.com.pk/thumbnails/413700003-800x600.jpeg,None,kaggle_2003
Honda,City Ivtec,2006,1900000,1250,Petrol,Automatic,"HONDA CITY STEERMATIC
MODEL 2006
AUTO/MANUAL PERFECT
POWER WINDOW
SMOOTH SOUNDLESS POWER ENGINE
RECENTLY CHANGE NEW BATTERY 
NEW TYERS
NEW SEAT COVER
LCD BACK CAMERA
SLIGHTLY TOUCHPS
BEST FOR FAMILIES COMPLETE COMPACK SEEDAN
TOP OF LINE CAR
FULL PACKAGE CAR
NO MAJOR MINOR WORK REQUIRED
JUST BUY AND DRIVE
FAMILY USED CAR
OWN NAME MENDATERY

FOR MORE ONLY CALL",https://images.olx.com.pk/thumbnails/412575171-800x600.jpeg,None,kaggle_2004
Toyota,Corolla Xli,2012,2215000,276000,Petrol,Manual,1 side genuine hai 1 ke 2 piece taching shower he new betry ander se totally genuine seal by seal,https://images.olx.com.pk/thumbnails/412739358-800x600.jpeg,None,kaggle_2005
Honda,Civic Oriel,2017,4525000,85000,Petrol,Automatic,civic 2021 facelift non accidental just 1 n half piece showered no any work required. no sms just cl me,https://images.olx.com.pk/thumbnails/414923428-800x600.jpeg,None,kaggle_2006
Changan,Karvaan,2022,2215000,45000,Petrol,Manual,neat and clean bumper to bumper jenuine only 2 dry dent not paint no touchups,https://images.olx.com.pk/thumbnails/398838442-800x600.jpeg,None,kaggle_2007
Daihatsu,Cuore,2009,890000,100000,Petrol,Manual,"nothing,11gzjzjkzhsksz",https://images.olx.com.pk/thumbnails/411139104-800x600.jpeg,None,kaggle_2008
Honda,Civic Prosmetic,2007,2000000,211000,Petrol,Automatic,"Family use car 
Showered for fresh look( no accident ) 
Showered because color was fading 
New Engine installed 30k driven updated on Smartcard 
Avg (12-13) with AC in city 
Avg (15-17) with AC on long route( highway, motorway)
Token clear till 24

Contact on Whatsapp agar call nai connect ho rhi

Documents original 
Number plate original 
Tyre Imported Dunlop ( 70% life)
Seat covers installed original seats still brand new
Android screen 
Reverse camera 
2 car keys 
Stepni and Tools also available
Recently all work done mechanical and suspension wise car is 110% 
Just buy and drive and change engine oil timely 
Brand new radiator and dry battery installed
It’s negotiable for serious buyers and dealers please don’t contact. 
For further information you can contact on my number but I would prefer that you visit and see the car for yourself then we can talk. 


Minor crack  on Front windscreen but treatment done so it won’t",https://images.olx.com.pk/thumbnails/412833840-800x600.jpeg,None,kaggle_2009
Toyota,Corrolla Altis,2008,2700000,55000,Petrol,Automatic,"its left hand steering car
total genuine
Very good condition 
canada imported
buy and drive",https://images.olx.com.pk/thumbnails/398932952-800x600.jpeg,None,kaggle_2010
Honda,Civic Oriel,2003,1375000,100000,Petrol,Manual,Honda civic 2003 no work requires just pay and drive,https://images.olx.com.pk/thumbnails/411443675-800x600.jpeg,None,kaggle_2011
Honda,City Aspire,2012,2645000,152000,Petrol,Automatic,"Honda city AUTO . 
 Model 2012 for sale. 
Islamabad number. 
 ac hater working
 powe STrang 
power windows. 
engn out class. 
on my Name barometric available . 
dmnd only twenty six lak fourty five thousand only. 

zero triple three dbl seven six 2 seven dbl four",https://images.olx.com.pk/thumbnails/412942491-800x600.jpeg,None,kaggle_2012
Daihatsu,Move,2013,2250000,105000,Petrol,Automatic,"original first owner. 
Bumper to bumper original
verified auction sheet
pearl blue color
contact on WhatsApp",https://images.olx.com.pk/thumbnails/413303957-800x600.jpeg,None,kaggle_2013
Toyota,Corrolla Altis,2002,1650000,100000,Petrol,Automatic,no any work require water dropping engine,https://images.olx.com.pk/thumbnails/414177295-800x600.jpeg,None,kaggle_2014
Toyota,Corrolla Altis,2014,3400000,66000,Petrol,Automatic,"I am the first owner single hand driven used as a second car. Original meter, spare unused. New battery and tyres 9.5/10 condition just buy and drive.",https://images.olx.com.pk/thumbnails/404206505-800x600.jpeg,None,kaggle_2015
Honda,City Ivtec,2019,4000000,50000,Petrol,Automatic,"HONDA CITY 

2019 Model 

REGISTERED 2019
*****
SILVER  COLOUR
*****
•  Total Genuine in New Condition Just Like showroom condition. You can bring your dentor/ Painter for your satisfaction 
*
• Engine 100%
• Suspension 100%
. Gear 100 %
• No dents, No repaint, No Touchups. 
• Neat and clean interior and exterior. 
• Not a single penny worked required. 
*****
• BRAND NEW CAR

Feautures:
• original pannel
• Back camera
• Navigation system
• GPS
• Leather seats
• Sound system. 
Note:
*
• As a full featured full option car price is very reasonable . 
urgent sale need payment 

Jazak Allah",https://images.olx.com.pk/thumbnails/413360057-800x600.jpeg,None,kaggle_2016
Honda,Civic Prosmetic,2011,2600000,156000,Petrol,Automatic,"Honda reborn oriel prosmatic
With sunroof only one fender touched up
Silver colour 
Lahore number 
Token paided till 2024
First owner",https://images.olx.com.pk/thumbnails/409797109-800x600.jpeg,None,kaggle_2017
Toyota,Altis Grande,2017,4650000,107000,Petrol,Automatic,"Sacratch less car. 
New model alloy rims. 
On my own name. 
No work required. 
Tottal genuine.",https://images.olx.com.pk/thumbnails/414838692-800x600.jpeg,None,kaggle_2018
Toyota,Corolla Gli,2017,3720000,92000,Petrol,Manual,just by and drive gift for Toyota lover's,https://images.olx.com.pk/thumbnails/413790324-800x600.jpeg,None,kaggle_2019
Suzuki,Alto,2021,2310000,27854,Petrol,Manual,"Total Original 
First Owner
Scratch Less
Low Mileage 
Back camera LCD install
Location: Mian Channu",https://images.olx.com.pk/thumbnails/414547102-800x600.jpeg,None,kaggle_2020
Kia,Sportage,2003,1450000,100000,Cng,Manual,"4x4 working
Petrol/CNG both working
16inch off rd tyres with Alloy rims 
never been into accident 
completely maintained
smart card
exchange option can be considered 
For more details, Whatsapp on ",https://images.olx.com.pk/thumbnails/407586849-800x600.jpeg,None,kaggle_2021
Suzuki,Ravi,2015,850000,69558,Petrol,Manual,No Work In Suzuki Ravi,https://images.olx.com.pk/thumbnails/412284871-800x600.jpeg,None,kaggle_2022
Daihatsu,Hijet,2011,1600000,70000,Petrol,Automatic,"*DAIHATSU HIJET
*Model 2011
*KM's driven : 70,000
*Registered By Lahore
*Engine 100%
*Suspension 100%
*Gear 100 %
*Power steering
*Fully maintain 
*New tyre and rims installed 
*Pearl White
*First Owner Own Name
*First Owner Own Name
*BioMatric Available
*Condition 9/10
*No Accidental totally Petrol used. 
*No Work Required
*All documents are clear
*Neat and Clean home Used Car
*Urgent Sale
''CALL FOR FURTHER DETAILS'
       Call & Whatsapp
        ",https://images.olx.com.pk/thumbnails/411104275-800x600.jpeg,None,kaggle_2023
Suzuki,Wagon R,2018,2050000,95000,Petrol,Manual,"I am selling my wagon R. . Non accidental, mechanically fit no work required, smooth drive, new tyres installed, great fuel average, only 2 peices showered rest seal to seal. . . overall best car, biometric on the spot available. . . 

JazakAllah",https://images.olx.com.pk/thumbnails/404340954-800x600.jpeg,None,kaggle_2024
Mitsubishi,Ek Wagon,2007,1550000,107443,Petrol,Automatic,hi. im selling my Mitsubishi ek wagon 2007 model 2012 registered ,https://images.olx.com.pk/thumbnails/414532056-800x600.jpeg,None,kaggle_2025
Chevrolet,Exclusive,2004,665000,125000,Petrol,Manual,Chevrolet  exclusive imported car Perfect Engine Perfect Suspension 70% original  car ac sound system Original Documents Lifetime Token biometric same day,https://images.olx.com.pk/thumbnails/414453905-800x600.jpeg,None,kaggle_2026
Daihatsu,Mira,2023,3460000,7500,Petrol,Automatic,Mira 2021 model 2023 import 4 grade car,https://images.olx.com.pk/thumbnails/409752476-800x600.jpeg,None,kaggle_2027
Changan,Alsvin,2022,4150000,40000,Petrol,Automatic,"well maintained battery health 100%
contact number : ",https://images.olx.com.pk/thumbnails/414631948-800x600.jpeg,None,kaggle_2028
Honda,Civic Prosmetic,2004,1265000,109000,Petrol,Manual,"Civic 2004 exi 2004 eagle eye very good condition ander Sy jeniun hy bhr sy chat piller jeniun hain baki light shawar hy no poligate ko kam nhe hy body men koi rust nhe hy 
Own powerful engine soundless koi kam nhe hy 
Chilled a/c good working
new tyre new aliram original honda civic japnies varient /g
android panel back camera laga howa hy
central lock achy wala laga howa key button wala 
new leather seat covers expensive waly lagy howy hain interior brand new jasa hy 
gari ki her cheez working men hy koi asi cheez nhe hy Jo kam na kar rahi ho a to z working
gari men koi b Kise tarha ka kam nhe hy 
Docoment complete hain 3rd owner hy number plate mojod hain
Cplc clear Tex paid hy 
gari ki original pic add men lagi howi hain abhi ki
sirf achi gari lany waly rabta karin apny or mery time ka khyl karin thanks 
0/3/0/0/3/4/8/2/9/6/0",https://images.olx.com.pk/thumbnails/402409228-800x600.jpeg,None,kaggle_2029
Chevrolet,Joy,2004,820000,115000,Petrol,Manual,"Chevrolet Exclusive L. S 800cc(Korean Variant)
*Model: 2004
*Its a CBU unit completely built by Korea. 
*Mechanically perfectly fine
*New AC is installed recently. 
*Fuel efficient (16-18km/ltr average)
*Complete orignal documents along with Import file(tokens life time paid)
*In a perfect condition. Goes easily on a speed of ",https://images.olx.com.pk/thumbnails/411259832-800x600.jpeg,None,kaggle_2030
Daihatsu,Mira,2022,3600000,5000,Petrol,Automatic,"Mira black car in good condition
model 2022
import 2023
clean condition 10/10",https://images.olx.com.pk/thumbnails/411566107-800x600.jpeg,None,kaggle_2031
Hyundai,Santro,2006,849999,17000,Petrol,Manual,engin good work AC VIP,https://images.olx.com.pk/thumbnails/395358919-800x600.jpeg,None,kaggle_2032
Faw,V2,2018,1625000,85500,Petrol,Manual,Faw v2 2018 model islamabad number in neat and clean condition car is my own name smooth drive kept with care very good fuel average new battery installed 5 days before and in warranty everything is in working condition,https://images.olx.com.pk/thumbnails/405756780-800x600.jpeg,None,kaggle_2033
Honda,City Idsi,2008,1700000,12345,Petrol,Manual,"Honda City 2008
Karachi Register",https://images.olx.com.pk/thumbnails/411841804-800x600.jpeg,None,kaggle_2034
Honda,Civic Oriel,2016,4250000,79000,Petrol,Automatic,"Honda civic oriel UG Model 2016 End
Milage 79600
3rd owner owne my name 
excellent condition
everything is in good or perfect condition
only 2 peice minor touchups
family use car 
urgent for sale call or Whatsapp 
location Clifton block 9th.",https://images.olx.com.pk/thumbnails/412562856-800x600.jpeg,None,kaggle_2035
Toyota,Corolla Gli,2013,2450000,75000,Petrol,Manual,Toyota Corolla gli 2013 is available for sale,https://images.olx.com.pk/thumbnails/413064022-800x600.jpeg,None,kaggle_2036
Toyota,Passo,2018,2675000,180000,Petrol,Automatic,car totally genuine paint non accidental 4grade auction sheet 1st owner sofa seats documents original biomatic available,https://images.olx.com.pk/thumbnails/411112702-800x600.jpeg,None,kaggle_2037
Kia,Classic,2001,300000,120000,Petrol,Manual,"smart card bana howa hai, biometric available hai,new seat poshish hai,",https://images.olx.com.pk/thumbnails/411917018-800x600.jpeg,None,kaggle_2038
Suzuki,Cultus Vxr,2007,760000,11111,Cng,Manual,"I m selling my lovely cute car witch is in very excellent condition inner complete genuine outer 90 percent genuine sealed engine no any work in suspension axles also good chilled AC as good as new tyre very attractive interior sound system complete return file no any CPLC issue tex December 2023 transfer must , over all the car is in very smooth drive only bye and drive ,JazakAllah    .",https://images.olx.com.pk/thumbnails/414231384-800x600.jpeg,None,kaggle_2039
Honda,Civic Prosmetic,2007,1860000,100000,Petrol,Automatic,"Prosmatic Full Option Reborn
after marker alloyrim installed, new tyres, sunroof, engine and body everything is in good condition no work required just buy and drive well maintainted car. Come with machanic. dont waste time by giving foolish offers. thankyou.",https://images.olx.com.pk/thumbnails/411141745-800x600.jpeg,None,kaggle_2040
Suzuki,Alto,2012,1300000,11196,Petrol,Manual,"suzuki alto 2012 model Car total genuine,No car accident Allah ka shokar h home use car",https://images.olx.com.pk/thumbnails/414131702-800x600.jpeg,None,kaggle_2041
Honda,Civic Prosmetic,2013,2850000,114000,Petrol,Automatic,"non-accidental 
few peice touchup
suspension is fine
engine is fine
visit with mechenic",https://images.olx.com.pk/thumbnails/411602815-800x600.jpeg,None,kaggle_2042
Toyota,Corolla Xli,2005,1450000,200000,Petrol,Manual,"original dacuments
all seals completed
no machinical work require
clill AC
running heater
first engine
first compressor
petrol average is plus 18km/L
look wise beautiful. 
",https://images.olx.com.pk/thumbnails/414620074-800x600.jpeg,None,kaggle_2043
Suzuki,Alto,2020,2150000,78500,Petrol,Manual,alto vxr 2020 mdel 2021 regestration,https://images.olx.com.pk/thumbnails/413522228-800x600.jpeg,None,kaggle_2044
Suzuki,Bolan,2017,1150000,85000,Petrol,Manual,(View phone number),https://images.olx.com.pk/thumbnails/413718206-800x600.jpeg,None,kaggle_2045
Honda,City Vario,2007,1750000,117000,Petrol,Automatic,Honda City 2007 Automatic,https://images.olx.com.pk/thumbnails/411120073-800x600.jpeg,None,kaggle_2046
Hyundai,Santro,2001,650000,85000,Petrol,Manual,all dacomint samart copi life time tokan,https://images.olx.com.pk/thumbnails/412973855-800x600.jpeg,None,kaggle_2047
Honda,City Ivtec,2015,2830000,80000,Petrol,Manual,no shower or repaint no touchup  1 st owner   urgent sale  whatsap on this number ,https://images.olx.com.pk/thumbnails/405203899-800x600.jpeg,None,kaggle_2048
Honda,Civic Prosmetic,2016,4900000,158000,Petrol,Automatic,one piece toch up and hid light installation,https://images.olx.com.pk/thumbnails/401184044-800x600.jpeg,None,kaggle_2049
Suzuki,Swift,2017,2150000,137464,Petrol,Manual,"1 In showroom condition. 
2. All token taxes are paid to date. 
3. Need to sell the car urgently. 
4. Driven on petrol through out. 
5. Model 2017 registration 2017.
6. Complete original files is available. 
7. Engine suspension 100%. 
8. No mechanical work required. 
9. Just bay aur drive. no 0304/42/44/744
10. contact no[[redacted phone number",https://images.olx.com.pk/thumbnails/410925746-800x600.jpeg,None,kaggle_2050
Hyundai,Santro,2005,955000,157000,Petrol,Manual,inner outer total genenion ever bumper genenion but repaint alowrims with brand new tyers engine suspension gare A. c heater all perfect original documents own name,https://images.olx.com.pk/thumbnails/415017509-800x600.jpeg,None,kaggle_2051
Suzuki,Bolan,2010,780000,2010,Petrol,Manual,all ok white color 2010model   bady crach,https://images.olx.com.pk/thumbnails/411648542-800x600.jpeg,None,kaggle_2052
Daihatsu,Hijet,2012,1350000,135000,Petrol,Automatic,Total Genuine totally cantt area use only family use car. engine suspension all ok no work required.,https://images.olx.com.pk/thumbnails/412599706-800x600.jpeg,None,kaggle_2053
Hyundai,Santro,2005,855000,130000,Petrol,Manual,"want to sale my santro car in good condition . 
Chat ,diggi , room ,hodha, in original paint ,
power stairing. 
Engine, suspention ok. 
Original documents, 
Original number plates. 
Aircondition in good condition. 
Tyre and àlloyrims are good. smooth dive. 
kindly avoid to waiste time both of us. 
car can be visit after 07:00 0pm at gulistan colony  .",https://images.olx.com.pk/thumbnails/359611460-800x600.jpeg,None,kaggle_2054
Honda,City Ivtec,2015,2725000,104230,Petrol,Manual,"- Throughout Honda Maintained in terms of oil change, filter change etc . 
- All original documents are complete. 
- Never got into accident
- Throughout Petrol driven
- Engine is in immaculate condition (Sealed engine)
- Android Panel with reverse Camera , Excellent speakers with mini woofer under backseat . 
- Smooth drive & Chilled Ac
- Overall Excellent condition, No Work Required , just buy & drive

",https://images.olx.com.pk/thumbnails/404064009-800x600.jpeg,None,kaggle_2055
Honda,City Ivtec,2018,3050000,66500,Petrol,Manual,"Honda city 1.3 manual
white color, original pictures are attached
car is registered on my name, i am second owner
 two piece shower, rest car is in original paint
car is in good condition, no any accidents. 
good condition yokohama blueearth tyres. 
dry battery 
leather seats
honda genuine lcd panel 
original documents smart card
just buy and drive, no work required 
price is near to final. 
Thanks",https://images.olx.com.pk/thumbnails/415052607-800x600.jpeg,None,kaggle_2056
Suzuki,Baleno,2006,1050000,321450,Cng,Manual,"IN GOOD CONDITION POWER STEERING POWERE WINDOWS POWER LOCK NO SHOWERED JUST TOUCHING CLEAN AND GENUINE CAR 10/10 CONDITION 
WITH SCREEN INSTALLED",https://images.olx.com.pk/thumbnails/415504134-800x600.jpeg,None,kaggle_2057
Honda,City Ivtec,2019,3400000,80000,Petrol,Manual,"bumper to bumper 80k milage
",https://images.olx.com.pk/thumbnails/414812355-800x600.jpeg,None,kaggle_2058
Honda,City Ivtec,2023,4550000,4000,Petrol,Manual,emergency Honda City,https://images.olx.com.pk/thumbnails/413663603-800x600.jpeg,None,kaggle_2059
Suzuki,Alto,2004,660000,165000,Petrol,Manual,"Jenioun Conditon 
Side shawer 
L. P. G Set AVG 28 
L. C. D Fitted
Back Camera",https://images.olx.com.pk/thumbnails/414565311-800x600.jpeg,None,kaggle_2060
Faw,X-Pv,2019,1350000,47000,Petrol,Manual,"sell faw xpv 
dual ac
bumper to bumper original
km 47000
power window
power steering
senter looking 
fule average 14.15
original set
original inside
original outer
non accident
tyer  5 good condition
family use 
kabi kabi istimal hoti he 
lo or chalo koi b kaam nhi he gari me 
location shah Faisal colony azeem pora 
falto log door rehy broker hazrat b 
WhatsApp and call  ",https://images.olx.com.pk/thumbnails/400879103-800x600.jpeg,None,kaggle_2061
Honda,Civic Prosmetic,2013,3000000,115000,Petrol,Automatic,"exchanged with altis/grandy 2015/16 etc or any other automatic car 

rebirth 2013 model 1.8 automatic white colour lhr reg. 
own name, bioetric available 
new tyre, and rym
Android panel, back camera,
2 keys, and token updated, 
original no.  plates and all history files of documents available. 
only diggi touch rest almost original. 
own engine,  seal by seal car
best in used cars
in city 12 and on long 14 average, 
price little bit negotiable 

a",https://images.olx.com.pk/thumbnails/344218282-800x600.jpeg,None,kaggle_2062
Daihatsu,Mira,2006,1495000,160000,Petrol,Automatic,"660cc Japanese Daihatsu Mira
Automatic Car
Model 2006
Reg 2011
Life Time Token 
Family Used Car
just buy and drive
No work required",https://images.olx.com.pk/thumbnails/415253624-800x600.jpeg,None,kaggle_2063
Honda,City Aspire,2015,2900000,146445,Petrol,Manual,"Color : White
Numbr : Lahore
Model : 2015
demand : 29lack
Token : Complete 
open trasfer latter
All basic documents clear 
One hand use condition fresh no need any work
Only Serious person contact Thankyou
other information 
Whatspp number 
",https://images.olx.com.pk/thumbnails/413911590-800x600.jpeg,None,kaggle_2064
Suzuki,Cultus Vxr,2012,950000,96000,Petrol,Manual,"Cultas 2012 
96000 orignal milage
File duplicate",https://images.olx.com.pk/thumbnails/414219948-800x600.jpeg,None,kaggle_2065
Honda,Civic Oriel,2011,1680000,15555,Petrol,Manual,Exchange possible wagnor cults,https://images.olx.com.pk/thumbnails/408894638-800x600.jpeg,None,kaggle_2066
Honda,City Ivtec,2015,3150000,112000,Petrol,Automatic,"City 1.3 Prosmetic in clean condition. 
17 inch tyres with alloy rims 
Back camera
Leather seats 
2 keys available
On my own name
Service history available as well",https://images.olx.com.pk/thumbnails/413691302-800x600.jpeg,None,kaggle_2067
Kia,Classic,2001,430000,50000,Cng,Manual,car for urgent sale in abbatabad. . . urgent need,https://images.olx.com.pk/thumbnails/379875890-800x600.jpeg,None,kaggle_2068
Suzuki,Mehran Vxr,2015,870000,65000,Petrol,Manual,"2015 Model VXR Euro 2 For Sale 
Air Conditioner Working 
Lifetime Token Paid 
Family Used Vehicle 
Documents All Original Available 
New Seats Poshish 
Seal By Seal Genuine Car 
Non Accidental Car 
Car Location. Burewala City",https://images.olx.com.pk/thumbnails/406273545-800x600.jpeg,None,kaggle_2069
Toyota,Passo,2016,3155000,98000,Petrol,Automatic,"Toyota Passo Moda G (Top of the line)
Model 2016
Registered 2019
Colour Bottle Green
Mileage 98,000
Push Start
Parking Sensor
Eco Idle
LCD & Back Camera
Climate Control Ac 
Multistearing
LED Lights 
Price Almost Final 
Alloy Rims
New Tyres 
Original Fog lamps
1st Owner",https://images.olx.com.pk/thumbnails/387491536-800x600.jpeg,None,kaggle_2070
Suzuki,Bolan,2014,1180000,120000,Petrol,Manual,totally genwan urgent sale,https://images.olx.com.pk/thumbnails/412603367-800x600.jpeg,None,kaggle_2071
Daihatsu,Cuore,2009,900000,12388,Petrol,Automatic,chhat digi Bonet genuine hai Darwaazy half shower hain neechy sy half genuine hai 3 fenders bhi genuine hai documents cplc tax sab clear hn location kashmore city,https://images.olx.com.pk/thumbnails/411471731-800x600.jpeg,None,kaggle_2072
Honda,City Vario,2006,1780000,117254,Petrol,Automatic,"Honda City Vario. Automatic
immaculate condition
2006
own engine perfect condition. 
perfect gear shifting
tyres OK
Ac working good
transfer must will not sell on open letter.",https://images.olx.com.pk/thumbnails/414339582-800x600.jpeg,None,kaggle_2073
Mercedes,E Class,2004,3590000,162000,Petrol,Automatic,Mercedes Benz E ,https://images.olx.com.pk/thumbnails/409876813-800x600.jpeg,None,kaggle_2074
Toyota,Corolla Xli,2010,1940000,249000,Petrol,Manual,"original document and smart card. 
biometric available on spot. 
AC heater suspension gear battery everything is in their best conditions. 
power window. 
security system is also functional. 
alloy wheels with 85% tyres. 
roof and some pieces in janion condition rest shower for freshness. 
ammaculate interior with LCD. 
Token tax updated UpTo 2024. 
price is already reasonable can be little bit negotiate on spot. 
no any work required just buy and drive.",https://images.olx.com.pk/thumbnails/413841097-800x600.jpeg,None,kaggle_2075
Suzuki,Baleno,2000,920000,94501,Petrol,Manual,Goodluk front gnwan otershawar inar genwan new engin genwan docomint biomatric availbale,https://images.olx.com.pk/thumbnails/414484331-800x600.jpeg,None,kaggle_2076
Honda,City Idsi,2004,1785000,75000,Petrol,Manual,"PLEASE READ DESCRIPTION 
DONT ASK FAZOOL QUESTIONS

ONLY PRICE DISCUSSION

DETAIL/FEATURE LIST
Honda city 2004 
RAWALPINDI NO. MY OWN NAME
Manual Transmission
1300 CC
AUTO WINDOWS
AUTO SIDE MIRRORS
SECURITY LOCK INSTALLED
10.1IN ANDROID SCREEN
REAR CAMERA
SOUND SYSTEM INSTALLED
HD LED LIGHTS INSTALLED(IMPORT FROM CHINA)
FOG LIGHTS INSTALLED(IMPORT FROM CHINA)
POWER STEERING
SIDES SHOWERED ONLY & 
TOTAL GENUINE OTHER PARTS
SPOILER,FRONT SPLITTER,SIDE SKIRTS,REAR SKIRTS INSTALLED
CHILL AC
HEATER WORKS PERFECT
NEW TYRES INSTALLED
0% FLAW IN CAR

17KM LONG DRIVE
15KM IN-CITY 

100% READY TO DRIVE 

CONTACT ME ONLY FOR PRICE ALL DETAILS MENTIONED See less",https://images.olx.com.pk/thumbnails/414997855-800x600.jpeg,None,kaggle_2077
Honda,City Ivtec,2018,3245000,70000,Petrol,Manual,"Aoa All,
Want to Sell my Car Urgently, Need Money that why price is reasonable
Honda City Dec 2018 
Registration Lahore 2019 
Kept with extreme care along with proper maintenance Record 
totally home used only 70k driven 
2x piece minor touched 
On my own name 
New Tyre / Unique leather Seat cover 

Can be seen in Offr Colony Lahore cantt

Price is not negotiable 
plz Contact : Zero Three Zero Zero : Eight Six Nine Six Four Eight Three 
",https://images.olx.com.pk/thumbnails/414504494-800x600.jpeg,None,kaggle_2078
