model,make,year,price,mileage,fuel_type,transmission,body_type,condition,seat,color,features,description,image_url
Pajero Mini,Mitsubishi,2005,188500,80000,Gasoline,Automatic,SUV,local_used,7,Gray,Premium Audio; Navigation; Power Locks; Power Mirrors; Power Windows,"2005 Mitsubishi Pajero Mini (locally used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with premium audio.",
Picanto,KIA,2023,167000,8400,Gasoline,Automatic,Hatchback,foreign_used,5,Blue,ABS; Air Bags; Immobilizer Key; Power Locks; Power Mirrors; Power Steering; Power Windows,"2023 KIA Picanto (foreign used), a premium hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS. A solid pick for luxury lovers who want a standout badge.",
Mira,Daihatsu,2003,85500,32000,Gasoline,Automatic,Hatchback,local_used,5,Orange,ABS; Air Bags; Premium Audio; Keyless Entry; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2003 Daihatsu Mira (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Baleno,Suzuki,2002,54500,175000,Gasoline,Manual,Hatchback,local_used,5,Black,ABS; Premium Audio; Immobilizer Key; Power Locks; Power Mirrors; Power Steering; Power Windows,"2002 Suzuki Baleno (locally used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Every,Suzuki,2008,249000,75000,Gasoline,Manual,Wagon,foreign_used,5,Black,Air Bags; Keyless Entry; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2008 Suzuki Every (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with air bags.",
Alto,Suzuki,2017,106000,48000,Gasoline,Automatic,Hatchback,foreign_used,5,Gray,ABS; Air Bags; Premium Audio; Power Locks; Power Steering; Power Windows; Backup Camera,"2017 Suzuki Alto (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Baleno,Suzuki,2001,76500,1111,Gasoline,Manual,Hatchback,local_used,5,Black,ABS; Premium Audio; Power Locks; Power Mirrors; Power Steering; Backup Camera,"2001 Suzuki Baleno (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Alto,Suzuki,2010,65500,150000,Gasoline,Manual,Hatchback,foreign_used,5,Red,ABS; Air Bags; Premium Audio; Immobilizer Key; Power Locks; Power Steering; Power Windows,"2010 Suzuki Alto (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Mehran VXR,Suzuki,2008,65000,80000,Gasoline,Manual,Hatchback,foreign_used,5,Blue,Premium Audio; Keyless Entry; Power Locks,"2008 Suzuki Mehran VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Spectra,KIA,2003,197500,120000,Gasoline,Manual,Sedan,foreign_used,5,Black,Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2003 KIA Spectra (foreign used), a premium sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio. A solid pick for luxury lovers who want a standout badge.",
City IDSI,Honda,2001,131000,1234,Gasoline,Automatic,Sedan,local_used,5,Gray,Premium Audio; Keyless Entry; Power Locks; Power Mirrors; Power Steering; Power Windows,"2001 Honda City IDSI (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio.",
Sportage,KIA,2005,383500,32712,Gasoline,Manual,SUV,local_used,7,Gray,Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2005 KIA Sportage (locally used), a premium suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with premium audio. A solid pick for luxury lovers who want a standout badge.",
Wagon R,Suzuki,2006,73000,100000,Gasoline,Automatic,Hatchback,local_used,5,White,ABS; Air Bags; Premium Audio; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2006 Suzuki Wagon R (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Every,Suzuki,2006,202500,148803,Gasoline,Manual,Wagon,foreign_used,5,Red,Air Bags; Premium Audio; Power Locks; Power Steering; Power Windows; Backup Camera,"2006 Suzuki Every (foreign used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with air bags.",
Corrolla Altis,Toyota,2005,114000,85000,Gasoline,Automatic,Sedan,local_used,5,Silver,ABS; Premium Audio; Immobilizer Key; Power Locks; Power Mirrors; Power Steering; Power Windows,"2005 Toyota Corrolla Altis (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Exclusive,Chevrolet,2003,67000,50000,Gasoline,Manual,Hatchback,local_used,5,Blue,Premium Audio; Immobilizer Key; Power Locks; Power Mirrors; Power Steering; Power Windows,"2003 Chevrolet Exclusive (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Pajero Mini,Mitsubishi,2000,130500,150000,Gasoline,Automatic,SUV,foreign_used,7,Black,ABS; Air Bags; Premium Audio; Keyless Entry; Power Locks; Power Mirrors; Power Steering; Power Windows,"2000 Mitsubishi Pajero Mini (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with ABS.",
Hijet,Daihatsu,2018,280500,83000,Gasoline,Automatic,Truck,local_used,2,Red,ABS; Air Bags; Premium Audio; Immobilizer Key; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2018 Daihatsu Hijet (locally used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with ABS.",
City Aspire,Honda,2009,125000,90000,Gasoline,Automatic,Sedan,foreign_used,5,Black,ABS; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2009 Honda City Aspire (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Alto,Suzuki,2016,103000,63000,Gasoline,Automatic,Hatchback,foreign_used,5,White,ABS; Air Bags; Premium Audio; Heated Seats; Keyless Entry; Power Locks; Power Steering; Power Windows; Backup Camera,"2016 Suzuki Alto (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Alto,Suzuki,2006,68500,98000,Gasoline,Manual,Hatchback,foreign_used,5,Red,ABS; Premium Audio; Keyless Entry; Power Locks; Power Steering; Power Windows,"2006 Suzuki Alto (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Cultus VXR,Suzuki,2019,97000,34000,Gasoline,Manual,Hatchback,foreign_used,5,White,Premium Audio; Immobilizer Key; Keyless Entry; Power Locks; Power Steering; Power Windows,"2019 Suzuki Cultus VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Corolla GLI,Toyota,2021,190500,53000,Gasoline,Automatic,Sedan,foreign_used,5,Black,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2021 Toyota Corolla GLI (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Cultus VXR,Suzuki,2005,71000,65000,Gasoline,Manual,Hatchback,foreign_used,5,Red,Premium Audio; Power Steering,"2005 Suzuki Cultus VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Mira,Daihatsu,2004,61500,125000,Gasoline,Automatic,Hatchback,foreign_used,5,Red,Air Bags; Premium Audio; Keyless Entry; Navigation; Power Steering; Power Windows,"2004 Daihatsu Mira (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with air bags.",
Passo,Toyota,2004,63000,110000,Gasoline,Automatic,Hatchback,local_used,5,Silver,ABS; Air Bags; Premium Audio; Keyless Entry; Power Locks; Power Mirrors; Power Steering; Power Windows,"2004 Toyota Passo (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Cultus VXR,Suzuki,2016,98000,80000,Gasoline,Manual,Hatchback,foreign_used,5,Silver,Premium Audio; Immobilizer Key; Keyless Entry; Power Locks,"2016 Suzuki Cultus VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Every,Suzuki,2011,306000,10000,Gasoline,Manual,Wagon,foreign_used,5,Black,Air Bags; Premium Audio; Immobilizer Key; Keyless Entry; Power Locks; Power Steering,"2011 Suzuki Every (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with air bags.",
Alto,Suzuki,2003,55000,185000,Gasoline,Manual,Hatchback,foreign_used,5,Black,Premium Audio; Backup Camera; Power Locks,"2003 Suzuki Alto (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Every,Suzuki,2020,373500,40000,Gasoline,Manual,Wagon,local_used,5,Black,ABS; Air Bags; Premium Audio; Power Locks; Power Steering; Power Windows; Backup Camera,"2020 Suzuki Every (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with ABS.",
X-PV,FAW,2017,59000,183000,Gasoline,Manual,Hatchback,foreign_used,5,Gray,Premium Audio,"2017 FAW X-PV (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
City IDSI,Honda,2010,151500,120000,Gasoline,Manual,Sedan,foreign_used,5,Gray,Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2010 Honda City IDSI (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio.",
Altis Grande,Toyota,2011,138000,71800,Gasoline,Automatic,Sedan,local_used,5,Blue,ABS; Air Bags; Premium Audio; Keyless Entry; Power Locks; Power Mirrors; Power Windows,"2011 Toyota Altis Grande (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Cervo,Suzuki,2007,78000,88000,Gasoline,Automatic,Hatchback,foreign_used,5,Blue,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2007 Suzuki Cervo (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Terios Kid,Daihatsu,2005,206000,41816,Gasoline,Automatic,SUV,foreign_used,7,White,Air Bags; Premium Audio; Keyless Entry; Power Locks; Power Mirrors; Power Steering; Power Windows,"2005 Daihatsu Terios Kid (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with air bags.",
Civic EXi,Honda,2002,97000,195000,Gasoline,Automatic,Sedan,foreign_used,5,Silver,ABS; Air Bags; Premium Audio; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2002 Honda Civic EXi (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
City Aspire,Honda,2010,136500,148000,Gasoline,Manual,Sedan,local_used,5,White,ABS; Premium Audio; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2010 Honda City Aspire (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Move,Daihatsu,2010,89000,60000,Gasoline,Automatic,Hatchback,foreign_used,5,Silver,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2010 Daihatsu Move (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Bolan,Suzuki,2014,305500,70515,Gasoline,Manual,Wagon,local_used,5,Black,Premium Audio,"2014 Suzuki Bolan (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with premium audio.",
Cultus VXR,Suzuki,2014,74500,99999,Gasoline,Manual,Hatchback,foreign_used,5,Red,ABS; Premium Audio; Immobilizer Key; Power Locks; Power Steering; Power Windows,"2014 Suzuki Cultus VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Cuore,Daihatsu,2011,81500,12345,Gasoline,Manual,Hatchback,local_used,5,Black,Premium Audio; Keyless Entry; Power Locks; Power Steering,"2011 Daihatsu Cuore (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Cuore,Daihatsu,2005,69000,70000,Gasoline,Manual,Hatchback,local_used,5,White,ABS; Premium Audio; Power Windows,"2005 Daihatsu Cuore (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Cuore,Daihatsu,2012,46000,240000,Gasoline,Manual,Hatchback,local_used,5,White,Premium Audio; Keyless Entry; Power Locks; Backup Camera,"2012 Daihatsu Cuore (locally used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Lancer,Mitsubishi,2008,129500,135823,Gasoline,Manual,Sedan,foreign_used,5,Gray,ABS; Air Bags; Premium Audio; Keyless Entry; Power Locks; Power Mirrors; Power Steering; Power Windows,"2008 Mitsubishi Lancer (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Minicab Bravo,Mitsubishi,2017,262000,100000,Gasoline,Manual,Truck,local_used,2,Silver,ABS; Air Bags; Premium Audio; Navigation; Power Locks; Power Steering; Power Windows; Backup Camera,"2017 Mitsubishi Minicab Bravo (locally used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with ABS.",
Altis Grande,Toyota,2013,115000,374545,Gasoline,Automatic,Sedan,foreign_used,5,White,ABS; Air Bags; Premium Audio; Keyless Entry; Power Locks; Power Mirrors; Power Steering; Power Windows,"2013 Toyota Altis Grande (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
X-PV,FAW,2016,109500,1000,Gasoline,Manual,Hatchback,foreign_used,5,White,Premium Audio; Power Steering,"2016 FAW X-PV (foreign used), a premium hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Mehran VXR,Suzuki,2019,95500,100000,Gasoline,Manual,Hatchback,foreign_used,5,Gray,Premium Audio; Immobilizer Key; Keyless Entry; Power Locks,"2019 Suzuki Mehran VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Cuore,Daihatsu,2004,38000,260000,Gasoline,Manual,Hatchback,local_used,5,White,Premium Audio; Keyless Entry; Power Locks; Backup Camera,"2004 Daihatsu Cuore (locally used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Liana,Suzuki,2006,96000,242000,Gasoline,Manual,Sedan,local_used,5,Blue,ABS; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2006 Suzuki Liana (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Civic VTi,Honda,2016,180000,99000,Gasoline,Automatic,Sedan,local_used,5,Gray,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera,"2016 Honda Civic VTi (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Alto,Suzuki,2013,80500,87000,Gasoline,Automatic,Hatchback,foreign_used,5,White,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2013 Suzuki Alto (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
City Vario,Honda,2013,155500,100000,Gasoline,Manual,Sedan,foreign_used,5,White,ABS; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2013 Honda City Vario (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Wagon R,Suzuki,2013,68000,169575,Gasoline,Automatic,Hatchback,local_used,5,Orange,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2013 Suzuki Wagon R (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Every,Suzuki,2022,336000,12345,Gasoline,Automatic,Wagon,foreign_used,5,Black,ABS; Air Bags; Premium Audio; Keyless Entry; Power Locks; Power Steering; Power Windows,"2022 Suzuki Every (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with ABS.",
Lancer,Mitsubishi,2003,117000,114000,Gasoline,Manual,Sedan,foreign_used,5,Black,Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2003 Mitsubishi Lancer (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with power locks.",
Alto,Suzuki,2015,79500,96000,Gasoline,Automatic,Hatchback,foreign_used,5,Blue,ABS; Air Bags; Premium Audio; Power Locks; Power Steering; Power Windows,"2015 Suzuki Alto (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Bolan,Suzuki,2010,200500,123456,Gasoline,Manual,Wagon,foreign_used,5,Red,Premium Audio; Immobilizer Key; Keyless Entry; Navigation; Power Locks,"2010 Suzuki Bolan (foreign used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with premium audio.",
Cultus VXR,Suzuki,2011,66000,130000,Gasoline,Manual,Hatchback,foreign_used,5,Orange,ABS; Premium Audio,"2011 Suzuki Cultus VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
City Aspire,Honda,2006,96000,154378,Gasoline,Manual,Sedan,foreign_used,5,Gray,Premium Audio; Power Steering; Power Windows; Backup Camera,"2006 Honda City Aspire (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio.",
City IDSI,Honda,2000,120500,11000,Gasoline,Automatic,Sedan,foreign_used,5,Black,Premium Audio; Immobilizer Key; Keyless Entry; Power Locks; Power Mirrors; Power Windows,"2000 Honda City IDSI (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio.",
Mehran VXR,Suzuki,2018,90000,35000,Gasoline,Manual,Hatchback,foreign_used,5,White,Premium Audio; Immobilizer Key,"2018 Suzuki Mehran VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Alto,Suzuki,2000,57000,150000,Gasoline,Automatic,Hatchback,local_used,5,Gray,ABS; Air Bags; Premium Audio; Power Locks; Power Windows,"2000 Suzuki Alto (locally used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Classic,KIA,2001,213500,50000,Gasoline,Manual,Sedan,foreign_used,5,Silver,Premium Audio; Power Steering,"2001 KIA Classic (foreign used), a premium sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio. A solid pick for luxury lovers who want a standout badge.",
Terios Kid,Daihatsu,2004,191500,123123,Gasoline,Automatic,SUV,foreign_used,7,Black,Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Windows,"2004 Daihatsu Terios Kid (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with air bags.",
Alto,Suzuki,2001,73000,10000,Gasoline,Automatic,Hatchback,foreign_used,5,Red,Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2001 Suzuki Alto (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with air bags.",
Terios Kid,Daihatsu,2000,156000,95000,Gasoline,Automatic,SUV,foreign_used,7,White,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2000 Daihatsu Terios Kid (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with ABS.",
City Vario,Honda,2001,93000,171000,Gasoline,Automatic,Sedan,local_used,5,Silver,Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2001 Honda City Vario (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio.",
Every,Suzuki,2005,214500,95000,Gasoline,Manual,Wagon,local_used,5,White,Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2005 Suzuki Every (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with air bags.",
Mehran VXR,Suzuki,2015,71500,98000,Gasoline,Manual,Hatchback,foreign_used,5,Silver,Premium Audio; Immobilizer Key; Keyless Entry; Power Locks,"2015 Suzuki Mehran VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Bolan,Suzuki,2017,325000,51230,Gasoline,Manual,Wagon,foreign_used,5,White,Premium Audio; Navigation,"2017 Suzuki Bolan (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with premium audio.",
City IVTEC,Honda,2000,68500,250000,Gasoline,Manual,Sedan,local_used,5,White,Premium Audio; Immobilizer Key; Navigation; Power Locks; Power Steering,"2000 Honda City IVTEC (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio.",
Terios Kid,Daihatsu,2012,243000,65000,Gasoline,Manual,SUV,local_used,7,White,Air Bags; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2012 Daihatsu Terios Kid (locally used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with air bags.",
Alsvin,Changan,2023,230500,18650,Gasoline,Automatic,Sedan,foreign_used,5,Gray,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Backup Camera,"2023 Changan Alsvin (foreign used), a premium sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Cuore,Daihatsu,2002,55500,94523,Gasoline,Manual,Hatchback,foreign_used,5,Gray,Premium Audio; Power Mirrors; Power Windows; Backup Camera,"2002 Daihatsu Cuore (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Move,Daihatsu,2006,60000,89000,Gasoline,Automatic,Hatchback,foreign_used,5,Silver,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2006 Daihatsu Move (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Sportage,KIA,2004,312000,100000,Gasoline,Automatic,SUV,local_used,7,Yellow,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2004 KIA Sportage (locally used), a premium suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with ABS. A solid pick for luxury lovers who want a standout badge.",
Hijet,Daihatsu,2019,304000,71000,Gasoline,Automatic,Truck,foreign_used,2,Black,ABS; Air Bags; Premium Audio; Immobilizer Key; Power Locks; Power Steering; Power Windows,"2019 Daihatsu Hijet (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with ABS.",
Cuore,Daihatsu,2003,67500,13000,Gasoline,Manual,Hatchback,local_used,5,Black,Premium Audio; Power Windows,"2003 Daihatsu Cuore (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Cultus VXR,Suzuki,2012,94000,75000,Gasoline,Manual,Hatchback,foreign_used,5,Blue,Power Locks; Power Steering; Power Windows; Backup Camera,"2012 Suzuki Cultus VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with power locks.",
Pajero Mini,Mitsubishi,2009,128000,196000,Gasoline,Automatic,SUV,foreign_used,7,White,ABS; Premium Audio; Backup Camera; Power Locks; Power Mirrors; Power Steering; Power Windows,"2009 Mitsubishi Pajero Mini (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with ABS.",
Picanto,KIA,2019,174000,34500,Gasoline,Automatic,Hatchback,foreign_used,5,Yellow,ABS; Air Bags; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2019 KIA Picanto (foreign used), a premium hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS. A solid pick for luxury lovers who want a standout badge.",
X-PV,FAW,2015,96500,85000,Gasoline,Manual,Hatchback,foreign_used,5,White,Premium Audio; Power Steering,"2015 FAW X-PV (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Baleno,Suzuki,2006,53500,150000,Gasoline,Manual,Hatchback,foreign_used,5,Yellow,Navigation; Power Locks; Power Mirrors; Power Windows; Backup Camera,"2006 Suzuki Baleno (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with navigation.",
City IVTEC,Honda,2001,70000,215000,Gasoline,Automatic,Sedan,foreign_used,5,White,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2001 Honda City IVTEC (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Every,Suzuki,2004,220000,35000,Gasoline,Automatic,Wagon,foreign_used,5,Red,ABS; Air Bags; Premium Audio; Backup Camera; Power Steering; Power Windows,"2004 Suzuki Every (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with ABS.",
E Class,Mercedes,2006,178000,133333,Gasoline,Automatic,Sedan,local_used,5,Silver,ABS; Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering,"2006 Mercedes E Class (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Mehran VXR,Suzuki,2012,84000,9999,Gasoline,Manual,Hatchback,foreign_used,5,Orange,Premium Audio; Power Locks; Power Steering; Power Windows,"2012 Suzuki Mehran VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Joy,Chevrolet,2004,65000,115000,Gasoline,Manual,Hatchback,foreign_used,5,White,Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2004 Chevrolet Joy (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Cultus VXR,Suzuki,2007,51000,152000,Gasoline,Manual,Hatchback,local_used,5,Silver,ABS; Air Bags; Premium Audio; Keyless Entry; Power Locks; Backup Camera,"2007 Suzuki Cultus VXR (locally used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Bolan,Suzuki,2019,301500,80000,Gasoline,Manual,Wagon,local_used,5,Yellow,Premium Audio; Immobilizer Key; Keyless Entry; Power Locks; Power Mirrors; Power Steering; Power Windows,"2019 Suzuki Bolan (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with premium audio.",
X-PV,FAW,2021,113000,67000,Gasoline,Manual,Hatchback,local_used,5,Silver,Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2021 FAW X-PV (locally used), a premium hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with air bags.",
